name;year;denom_tot_workers;Commute Time Above 1 Hour
Northeast Antelope Valley;2021;6692,02;28.64
Arleta;2021;16799,37;12.49
Van Nuys;2021;56903,75;17.88
Mar Vista;2021;20041,97;6.2
Valley Glen;2021;27733,33;17
Arcadia;2021;26573,58;13.53
Windsor Square;2021;3149,84;6.09
West Puente Valley;2021;8467,57;15.63
Central-Alameda;2021;19497,87;16.48
Arlington Heights;2021;9500,93;12.56
Harvard Heights;2021;8247,31;14.94
Harvard Park;2021;4602,44;18.2
East Hollywood;2021;33015,03;15.56
Lennox;2021;8744,85;12.13
Larchmont;2021;4663,54;6.21
Tarzana;2021;17012,92;17.79
Rolling Hills;2021;910,17;11.88
Mid-City;2021;26869,06;8.92
Westchester;2021;21430,78;6.24
Manchester Square;2021;5455,47;20.79
Rowland Heights;2021;21777,09;13.74
Ridge Route;2021;2894,11;13.9
South San Jose Hills;2021;8950,35;12.15
Vermont-Slauson;2021;12611,3;19.33
Athens;2021;4414,99;10.08
Mount Washington;2021;7362,62;13.34
West Compton;2021;2853,16;7.78
Los Feliz;2021;19477,74;11.5
Chinatown;2021;5167,03;11.17
Century City;2021;2769,37;4.57
Florence-Firestone;2021;25798,48;14.37
University Park;2021;8272,45;10.11
Hollywood Hills West;2021;8043,07;10.98
Unincorporated Santa Monica Mountains;2021;8489,19;18.41
West Los Angeles;2021;7407,94;2.54
Hancock Park;2021;5749,47;4.08
Canoga Park;2021;32395,65;15.36
Chesterfield Square;2021;3849,5;17.68
Hidden Hills;2021;636,91;11.9
Norwalk;2021;46725,52;12.04
North El Monte;2021;1137,25;10.1
Monterey Park;2021;26860,76;11.12
Hollywood;2021;42756,36;11.1
Fairfax;2021;7755,12;10.58
Glassell Park;2021;12032,1;11.57
Watts;2021;14406,51;17.84
La Verne;2021;14088,51;16.49
Rancho Palos Verdes;2021;17633,04;16.08
Green Meadows;2021;14153,82;16.67
Del Aire;2021;4003,93;10.66
Vermont Knolls;2021;9036,95;17.11
Castaic;2021;5351,84;18.99
Westwood;2021;21125,35;4.01
Venice;2021;19495,46;8.91
South Diamond Bar;2021;1775,42;22.5
Universal City;2021;;
Pacific Palisades;2021;9546;5.78
Bel-Air;2021;2750,39;11.89
East Pasadena;2021;2490,24;12.3
Cudahy;2021;9256,22;17.47
Palos Verdes Estates;2021;5174,75;17.01
Ladera Heights;2021;2786,87;4.9
Walnut Park;2021;7533,06;16.55
La Crescenta-Montrose;2021;9239,33;15.75
Gardena;2021;29703,47;9.94
Duarte;2021;10261,47;12.8
La Mirada;2021;23455,7;13.23
Maywood;2021;11464,66;15.23
Alondra Park;2021;3869,87;16.85
Beverly Grove;2021;12337,8;6.38
Vermont Vista;2021;10422,64;18.36
Lawndale;2021;16441,29;8.69
Hyde Park;2021;15389,35;17.39
Lomita;2021;10504,51;10.14
South Pasadena;2021;14292,44;12.88
Westmont;2021;13507,76;16.2
San Pasqual;2021;1112,56;14.4
West Hollywood;2021;23949,59;8.41
Artesia;2021;6942,49;10.42
Manhattan Beach;2021;15754,02;17.63
West Carson;2021;10886,01;11.1
Hermosa Beach;2021;11330,51;17.21
Carthay;2021;2651,31;5.74
Beverly Hills;2021;14785,85;9.07
El Segundo;2021;9616,3;10.4
View Park-Windsor Hills;2021;5383,21;11.23
Sierra Madre;2021;5929,91;12.17
Gramercy Park;2021;4576,99;9.27
Aggregated;2021;4736963,22;13.96
