OBJECTID,Neighborhood,LAPD_Cost,LAPD_Days_in_Jail,LAPD_Arrests,LASD_Cost,LASD_Days_in_Jail,LASD_Arrests,F2010_Population,Combo_Cost,Combo_Cost_PerPop,Combo_Days,Combo_Days_PerPop,Combo_Arrests,Combo_Arrests_PerPop,spa,sup_dist,SHAPE_Length,SHAPE_Area
1,Acton,25282,110,51,1103120,7367,396,6128,1128402,184.138707571802,7477,1.22013707571802,447,0.072943864229765,SPA 1 - Antelope Valley,District 5,0.554615037157914,0.0100016952986366
2,Agoura Hills,83892,365,216,587038,3288,470,17147,670930,39.1281273692191,3653,0.213040181956027,686,0.0400069983087421,SPA 2 - San Fernando,District 3,0.255668836843704,0.00206274293138619
3,Agua Dulce,10573,46,23,377880,2513,140,21499,388453,18.0684217870599,2559,0.119028792036839,163,0.00758174798827852,SPA 1 - Antelope Valley,District 5,0.439983434691251,0.00800043444846056
4,Alhambra,301550,1312,647,2444920,16637,751,3535,2746470,776.936350777935,17949,5.07751060820368,1398,0.395473833097595,SPA 3 - San Gabriel,District 1,0.210732515225058,0.00192878285847186
5,Alondra Park,55621,242,112,667093,4244,326,83089,722714,8.69807074341971,4486,0.0539902995583049,438,0.00527145590872438,SPA 8 - South Bay,District 2,0.0781228869953808,0.000287710780548304
6,Altadena,221106,962,455,4779990,31710,1803,8557,5001096,584.445015776557,32672,3.81816057029333,2258,0.263877527170737,SPA 3 - San Gabriel,District 5,0.302329225178569,0.00220656100380326
7,Angeles Crest,0,0,0,21656,127,15,42356,21656,0.511285296061951,127,0.00299839456039286,15,0.00035414108981018,SPA 3 - San Gabriel,District 5,2.07924169518337,0.109178610001807
8,Arcadia,63666,277,157,467051,2889,262,542,530717,979.182656826568,3166,5.84132841328413,419,0.773062730627306,SPA 3 - San Gabriel,District 5,0.399384160482116,0.00282278583660214
9,Arleta,206856,900,429,465231,3207,126,56668,672087,11.8600797628291,4107,0.07247476529964,555,0.00979388720265405,SPA 2 - San Fernando,District 3,0.122656723868213,0.000784795364718902
10,Artesia,28500,124,60,2758390,18178,1090,16522,2786890,168.677520881249,18302,1.10773514102409,1150,0.0696041641447767,SPA 7 - East,District 4,0.122762545834695,0.000411866874072327
11,Atwater Village,286381,1246,607,128149,829,57,11982,414530,34.5960607578034,2075,0.173176431313637,664,0.0554164580203639,SPA 4 - Metro,District 1,0.120616098236641,0.000449772476119762
12,Avalon,2528,11,5,521425,3229,291,3569,523953,146.806668534604,3240,0.907817315774727,296,0.0829363967497899,SPA 8 - South Bay,District 4,0.167206035611509,0.000688142949469209
13,Avocado Heights,34706,151,70,4167110,28017,1419,12079,4201816,347.861246791953,28168,2.33198112426525,1489,0.123271794022684,SPA 3 - San Gabriel,District 1,0.267003569880299,0.00074553521672734
14,Azusa,61137,266,131,3205300,21271,1206,43729,3266437,74.6972718333371,21537,0.492510690845892,1337,0.0305746758444053,SPA 3 - San Gabriel,District 1,0.451063263160567,0.00249906730015754
15,Baldwin Park,129400,563,277,6320570,42906,1984,74506,6449970,86.5698064585403,43469,0.583429522454567,2261,0.0303465492711996,SPA 3 - San Gabriel,District 1,0.265099576653694,0.00171477923935854
16,Bel-Air,41831,182,113,14772,75,15,8261,56603,6.85183391841181,257,0.0311100351047089,128,0.0154944921922285,SPA 5 - West,District 3,0.19009788284276,0.00161271290624618
17,Bell,187090,814,403,2869740,19007,1095,35643,3056830,85.7624217939006,19821,0.556097971551216,1498,0.0420278876637769,SPA 7 - East,District 4,0.20296690325089,0.000645348026070856
18,Bellflower,299711,1304,617,14077000,92202,5795,76616,14376711,187.646327137935,93506,1.22045003654589,6412,0.0836900908426438,SPA 7 - East,District 4,0.177035213306487,0.00156369379873856
19,Bell Gardens,178126,775,378,3072030,20235,1218,41571,3250156,78.1832527483101,21010,0.505400399316831,1596,0.0383921483726636,SPA 7 - East,District 4,0.120222269765551,0.000626610938939214
20,Beverly Crest,88488,385,215,41272,202,45,10347,129760,12.5408330917174,587,0.0567314197351889,260,0.0251280564414806,SPA 5 - West,District 3,0.283661149152348,0.00208437663885717
21,Beverly Grove,212372,924,519,157162,914,112,20998,369534,17.5985331936375,1838,0.0875321459186589,631,0.0300504809981903,SPA 4 - Metro,District 3,0.137163368144293,0.000417066072249692
22,Beverly Hills,190537,829,503,465616,3166,144,34109,656153,19.2369462605178,3995,0.117124512591985,647,0.0189686006625817,SPA 5 - West,District 3,0.260545434059735,0.00144254169743939
23,Beverlywood,37924,165,80,26628,167,14,5391,64552,11.9740307920608,332,0.0615841216842886,94,0.0174364681877203,SPA 5 - West,District 3,0.0613262722943874,0.000200869310909128
24,Boyle Heights,4107241,17870,7527,6579180,43274,2634,90048,10686421,118.674717928216,61144,0.679015636105188,10161,0.112839818763326,SPA 4 - Metro,District 1,0.171870959595494,0.00164837506326424
25,Bradbury,4597,20,8,30022,178,20,1292,34619,26.7948916408669,198,0.153250773993808,28,0.021671826625387,SPA 3 - San Gabriel,District 5,0.109995889171832,0.000488285253523298
26,Brentwood,186170,810,483,55896,271,62,32540,242066,7.43902888752305,1081,0.033220651505839,545,0.0167486170866626,SPA 5 - West,District 3,0.357322505211811,0.00385174018842294
27,Burbank,926945,4033,2081,986142,6598,349,103340,1913087,18.512550803174,10631,0.102874008128508,2430,0.0235146119605187,SPA 2 - San Fernando,District 5,0.308283953193345,0.00439285761734046
28,Calabasas,133307,580,352,627260,3726,415,24159,760567,31.4817252369717,4306,0.178235854133035,767,0.031748002814686,SPA 2 - San Fernando,District 3,0.427452397521437,0.00469440426596361
29,Canoga Park,3452886,15023,7030,595681,3546,391,58943,4048567,68.6861374548292,18569,0.31503316763653,7421,0.12590129447093,SPA 2 - San Fernando,District 3,0.149435686578234,0.00110180075697348
30,Carson,689290,2999,1358,19126800,125879,7627,91800,19816090,215.861546840959,128878,1.40389978213508,8985,0.0978758169934641,SPA 8 - South Bay,District 2,0.389720395595079,0.00483042073967774
31,Carthay,69182,301,150,186617,1217,79,5068,255799,50.473362273086,1518,0.299526440410418,229,0.0451854775059195,SPA 4 - Metro,District 2,0.0463830410576737,0.000127640457194332
