OBJECTID;Neighborhood;sup_dist;SHAPE_Length;SHAPE_Area
231;Westlake Village;District 3;1,97175E+14;1,42942E+14
232;West Los Angeles;District 3;7,09503E+14;2,65417E+14
233;West Puente Valley;District 1;1,79234E+14;4,69531E+14
234;West San Dimas;District 5;7,33595E+14;8343778518
235;West Whittier-Los Nietos;District 4;2,28374E+14;6,60539E+14
236;Westwood;District 3;1,52237E+14;9,29754E+13
237;Whittier;District 4;4,91613E+13;3,72411E+14
238;Whittier Narrows;District 1;2,2589E+14;7,33127E+14
239;Wilmington;District 4;4,42518E+12;2,3043E+13
240;Windsor Square;District 2;5,32628E+13;1,72882E+14
241;Winnetka;District 3;1,54788E+14;1,21045E+14
242;Woodland Hills;District 3;3,27354E+14;3,73999E+14
243;Westside South Central;District 2;6,76324E+14;8,65887E+13
244;Eastside South Central;District 2;4,25389E+14;5,2122E+14
