name;year;total_pop
Glassell Park;2022;22813,92
Watts;2022;40917,74
La Verne;2022;31185,78
Rancho Palos Verdes;2022;41606,02
Green Meadows;2022;35363,39
Del Aire;2022;8112,14
Vermont Knolls;2022;23963,68
Castaic;2022;11081,07
Westwood;2022;53075,59
Venice;2022;32500,17
South Diamond Bar;2022;3985,08
Universal City;2022;
Pacific Palisades;2022;22882,77
Bel-Air;2022;6478,88
East Pasadena;2022;5082,61
Cudahy;2022;22154,36
Palos Verdes Estates;2022;12898,35
Ladera Heights;2022;6570,28
Walnut Park;2022;15987,39
La Crescenta-Montrose;2022;19836,61
Gardena;2022;60053,07
Duarte;2022;21498,48
La Mirada;2022;47494,27
Maywood;2022;24846,46
Alondra Park;2022;8277,28
Beverly Grove;2022;20369,65
Vermont Vista;2022;27311,44
Lawndale;2022;31424,85
Hyde Park;2022;35932,01
Lomita;2022;20558,57
South Pasadena;2022;26496,05
Westmont;2022;35225,83
San Pasqual;2022;1916,01
West Hollywood;2022;35279,39
Artesia;2022;16175,01
Manhattan Beach;2022;35023,99
West Carson;2022;22177,82
Hermosa Beach;2022;19498,32
Carthay;2022;4751,25
Beverly Hills;2022;32370
El Segundo;2022;17061,57
View Park-Windsor Hills;2022;11975
Sierra Madre;2022;11139,46
Gramercy Park;2022;10692,02
