OBJECTID;Neighborhood;LAPD_Cost;LAPD_Days_in_Jail;LAPD_Arrests;LASD_Cost;LASD_Days_in_Jail;LASD_Arrests;F2010_Population;Combo_Cost;Combo_Cost_PerPop;Combo_Days;Combo_Days_PerPop;Combo_Arrests;Combo_Arrests_PerPop;spa;sup_dist;SHAPE_Length;SHAPE_Area
180;Sawtelle;668834;2910;1445;434041;2786;202;35269;1102875;3,12704E+14;5696;1,61502E+14;1647;4,66982E+14;SPA 5 - West;District 3;1,21057E+14;6,80463E+13
181;Sepulveda Basin;24823;108;54;7233;40;6;186;32056;1,72344E+14;148;7,95699E+14;60;3,22581E+13;SPA 2 - San Fernando;District 3;1,48099E+14;7,94415E+14
182;Shadow Hills;449107;1954;891;312025;2057;123;13694;761132;5,55814E+13;4011;2,92902E+14;1014;7,4047E+14;SPA 2 - San Fernando;District 5;3,39427E+14;3,24614E+14
183;Sherman Oaks;1061171;4617;2658;370562;2326;194;63661;1431733;2,249E+14;6943;1,09062E+14;2852;4,47998E+14;SPA 2 - San Fernando;District 3;2,53057E+14;2,31598E+14
184;Sierra Madre;28500;124;55;92688;566;55;10917;121188;1,11009E+14;690;6,32042E+14;110;1,0076E+13;SPA 3 - San Gabriel;District 5;1,23865E+14;7,51851E+13
185;Signal Hill;30339;132;67;271031;1801;101;11077;301370;2,72068E+14;1933;1,74506E+14;168;1,51666E+13;SPA 7 - East;District 4;1,75251E+14;5,6061E+14
186;Silver Lake;641943;2793;1313;331673;2142;149;29228;973616;3,33111E+14;4935;1,68845E+14;1462;5,00205E+14;SPA 4 - Metro;District 1;1,25002E+14;6,95595E+13
187;South Diamond Bar;0;0;0;0;0;0;2823;0;0;0;0;0;0;SPA 3 - San Gabriel;District 1;2,11987E+14;1,35128E+14
188;Southeast Antelope Valley;24823;108;43;2226400;15623;490;8149;2251223;2,76258E+14;15731;1,93042E+14;533;6,54068E+14;SPA 1 - Antelope Valley;District 5;1,62386E+14;4,9036E+13
189;South El Monte;48266;210;104;6000320;40921;1806;16637;6048586;3,63562E+14;41131;2,47226E+14;1910;1,14804E+14;SPA 3 - San Gabriel;District 1;1,91885E+14;7,40404E+14
190;South Gate;388430;1690;853;10237700;69249;3315;94396;10626130;1,1257E+14;70939;7,51504E+14;4168;4,41544E+14;SPA 7 - East;District 4;3,16747E+14;1,88125E+14
